empno,ename,sal,job,doj,deptno,manager_id,bonus
469,Employee_469,11469,Manager,2020-02-12,2,441,3760
470,Employee_470,25628,Analyst,2022-04-01,4,791,4290
471,Employee_471,29524,Manager,2020-11-04,3,990,3992
472,Employee_472,23476,Assistant,2023-02-20,10,238,2247
473,Employee_473,34160,Assistant,2020-03-16,9,217,2502
474,Employee_474,49340,Engineer,2022-09-20,2,440,3981
475,Employee_475,13597,Assistant,2019-08-08,3,341,1248
476,Employee_476,36053,Engineer,2022-04-23,1,894,4234
477,Employee_477,21017,Analyst,2023-02-02,4,24,3192
478,Employee_478,47492,Manager,2023-06-14,5,940,4511
479,Employee_479,32569,Assistant,2022-08-13,5,131,2510
480,Employee_480,42050,Manager,2020-06-23,4,429,2163
481,Employee_481,10622,Engineer,2021-05-05,3,340,1262
482,Employee_482,18281,Manager,2021-05-07,1,771,1638
483,Employee_483,34778,Engineer,2020-12-02,4,198,2954
484,Employee_484,28423,Analyst,2021-07-20,2,267,3019
485,Employee_485,27877,Analyst,2019-07-23,10,629,1417
486,Employee_486,42353,Assistant,2023-03-19,5,587,4185
487,Employee_487,11151,Analyst,2019-08-13,9,61,2258
488,Employee_488,31077,Engineer,2023-02-22,7,966,3245
489,Employee_489,12663,Assistant,2019-08-14,10,925,3725
490,Employee_490,28714,Analyst,2022-06-13,7,747,3326
491,Employee_491,39662,Engineer,2022-02-03,8,961,3384
492,Employee_492,29783,Engineer,2019-09-22,10,706,3577
493,Employee_493,26541,Assistant,2022-09-26,8,363,4095
494,Employee_494,13602,Manager,2020-06-10,7,288,4329
495,Employee_495,41249,Analyst,2023-04-20,1,813,3804
496,Employee_496,26100,Assistant,2021-08-27,3,465,2809
497,Employee_497,29334,Assistant,2022-12-22,1,203,2473
498,Employee_498,29424,Engineer,2019-11-20,8,797,2405
499,Employee_499,13889,Assistant,2022-07-04,5,540,3922
500,Employee_500,22169,Analyst,2023-06-01,7,810,1555
501,Employee_501,13396,Assistant,2021-07-04,8,954,3187
502,Employee_502,41770,Manager,2022-01-21,8,362,3244
503,Employee_503,23734,Assistant,2020-12-01,1,592,1268
504,Employee_504,48042,Manager,2020-02-05,7,604,3146
505,Employee_505,24758,Engineer,2019-11-21,6,976,3058
506,Employee_506,34493,Manager,2022-09-20,10,566,3678
507,Employee_507,47061,Assistant,2020-08-17,5,116,2613
508,Employee_508,25636,Engineer,2022-02-05,4,269,4803
509,Employee_509,40798,Engineer,2020-09-17,5,147,1652
510,Employee_510,25944,Assistant,2020-08-13,9,907,1694
511,Employee_511,42766,Engineer,2021-10-24,6,695,4848
512,Employee_512,24104,Engineer,2022-02-21,3,860,1229
513,Employee_513,36124,Engineer,2020-01-17,1,275,4573
514,Employee_514,26236,Analyst,2022-06-05,3,466,1158
515,Employee_515,17079,Engineer,2022-02-21,5,440,4676
516,Employee_516,39211,Assistant,2019-06-25,8,229,2907
517,Employee_517,42667,Manager,2020-01-10,10,636,2302
518,Employee_518,46809,Engineer,2021-03-09,4,271,3086
519,Employee_519,20300,Analyst,2019-10-20,3,357,1856
520,Employee_520,34197,Assistant,2020-08-30,4,907,4870
521,Employee_521,10647,Assistant,2023-04-21,4,216,1200
522,Employee_522,46791,Manager,2022-04-14,8,939,2935
523,Employee_523,14989,Assistant,2021-06-23,4,988,4765
524,Employee_524,20866,Manager,2019-12-25,6,988,1767
525,Employee_525,31508,Analyst,2020-12-13,7,560,4704
526,Employee_526,46873,Analyst,2019-12-17,3,832,4623
527,Employee_527,33605,Engineer,2021-12-10,8,324,3822
528,Employee_528,43337,Engineer,2022-03-31,4,304,3789
529,Employee_529,33736,Engineer,2023-05-05,5,702,1403
530,Employee_530,40162,Assistant,2020-01-16,2,64,4498
531,Employee_531,24167,Manager,2019-10-10,1,601,3362
532,Employee_532,45103,Engineer,2020-01-30,8,39,3116
533,Employee_533,24180,Engineer,2019-11-28,10,906,2015
534,Employee_534,15398,Engineer,2021-03-22,4,649,4223
535,Employee_535,45591,Analyst,2022-08-15,1,195,4905
536,Employee_536,35686,Engineer,2020-10-14,5,297,4920
537,Employee_537,20692,Manager,2023-03-27,6,906,2848
538,Employee_538,35404,Assistant,2022-09-16,2,398,1700
539,Employee_539,26574,Manager,2022-05-06,4,373,2991
540,Employee_540,40800,Assistant,2023-04-28,6,923,1509
541,Employee_541,21539,Analyst,2023-02-04,1,790,3616
542,Employee_542,42958,Assistant,2019-08-25,9,959,2544
543,Employee_543,48129,Engineer,2022-05-26,9,933,3854
544,Employee_544,16595,Assistant,2021-11-17,10,366,1963
545,Employee_545,32053,Manager,2020-02-14,7,147,4384
546,Employee_546,49085,Manager,2020-02-04,3,808,3137
547,Employee_547,26723,Manager,2022-12-28,6,894,4680
548,Employee_548,49594,Engineer,2019-07-13,4,552,4081
549,Employee_549,12917,Manager,2023-04-28,2,668,4696
550,Employee_550,46762,Engineer,2021-02-19,8,881,4005
551,Employee_551,17293,Assistant,2019-11-06,8,1,4796
552,Employee_552,18606,Manager,2023-01-18,10,590,4753
553,Employee_553,24356,Engineer,2021-02-15,2,289,2793
554,Employee_554,32013,Engineer,2020-05-01,1,805,4849
555,Employee_555,11947,Engineer,2021-02-07,7,610,3472
556,Employee_556,16692,Assistant,2023-03-11,4,709,2954
557,Employee_557,26058,Manager,2020-04-30,10,173,4996
558,Employee_558,24755,Manager,2020-03-31,10,295,4876
559,Employee_559,14938,Analyst,2022-11-25,10,226,4549
560,Employee_560,16760,Manager,2019-12-26,6,654,1343
561,Employee_561,28911,Manager,2022-03-19,4,126,3778
562,Employee_562,43395,Manager,2021-02-27,8,687,1567
563,Employee_563,30100,Assistant,2021-07-18,6,580,2094
564,Employee_564,28392,Analyst,2021-12-19,1,441,4082
565,Employee_565,34114,Manager,2022-07-28,9,303,3400
566,Employee_566,13131,Assistant,2020-04-27,8,355,2031
567,Employee_567,31420,Assistant,2019-10-28,2,982,2904
568,Employee_568,48456,Manager,2020-03-26,4,519,3279
569,Employee_569,38265,Analyst,2022-11-18,1,638,3126
570,Employee_570,14942,Analyst,2021-10-16,7,115,2474
571,Employee_571,49416,Engineer,2020-01-10,4,975,1536
572,Employee_572,20034,Assistant,2020-09-14,4,804,1875
573,Employee_573,40095,Engineer,2021-05-31,7,95,2322
574,Employee_574,27784,Engineer,2022-01-09,7,509,3638
575,Employee_575,18619,Assistant,2022-02-11,4,663,2316
576,Employee_576,25688,Engineer,2022-07-18,6,24,3694
577,Employee_577,46849,Analyst,2020-02-16,6,823,1912
578,Employee_578,20106,Analyst,2021-11-01,2,610,4568
579,Employee_579,29665,Analyst,2019-09-09,5,626,4218
580,Employee_580,45206,Assistant,2023-06-08,10,593,3249
581,Employee_581,19607,Engineer,2020-12-30,3,873,2768
582,Employee_582,20923,Assistant,2021-01-02,3,987,4567
583,Employee_583,37458,Engineer,2023-01-17,10,773,3475
584,Employee_584,32998,Engineer,2019-12-05,1,349,1266
585,Employee_585,36406,Manager,2021-09-02,5,72,2257
586,Employee_586,32471,Analyst,2021-10-22,6,868,1176
587,Employee_587,38428,Analyst,2019-11-26,3,704,3376
588,Employee_588,10469,Manager,2020-10-02,7,266,4906
589,Employee_589,47901,Manager,2019-10-22,5,969,3778
590,Employee_590,24699,Analyst,2021-05-24,1,556,1983
591,Employee_591,45954,Manager,2021-04-25,7,283,1688
592,Employee_592,38152,Assistant,2023-02-09,2,628,2232
593,Employee_593,29796,Engineer,2020-01-19,6,37,4807
594,Employee_594,29716,Assistant,2021-09-23,2,7,2070
595,Employee_595,41573,Assistant,2021-07-30,7,678,1459
596,Employee_596,42494,Assistant,2023-01-01,10,436,2176
597,Employee_597,40897,Manager,2019-10-26,5,901,4597
598,Employee_598,28258,Manager,2022-06-08,3,933,3635
599,Employee_599,11842,Assistant,2021-02-15,9,434,3600
600,Employee_600,16510,Manager,2020-09-04,3,519,2582
601,Employee_601,30644,Analyst,2020-09-24,8,15,4419
602,Employee_602,25207,Analyst,2020-11-01,7,586,2704
603,Employee_603,38951,Manager,2021-02-26,4,327,3250
604,Employee_604,34169,Engineer,2021-03-15,4,600,4201
605,Employee_605,37374,Manager,2023-02-17,5,172,2867
606,Employee_606,25454,Manager,2020-03-04,10,619,3985
607,Employee_607,46745,Engineer,2023-05-02,4,525,3473
608,Employee_608,33529,Analyst,2022-07-29,8,920,1337
609,Employee_609,28176,Analyst,2021-01-25,6,369,2454
610,Employee_610,10392,Engineer,2021-10-09,2,797,2141
611,Employee_611,44032,Engineer,2020-04-14,10,851,1889
612,Employee_612,32000,Engineer,2022-12-16,7,137,2165
613,Employee_613,22354,Assistant,2021-01-20,9,408,3108
614,Employee_614,27461,Manager,2022-02-02,5,912,4754
615,Employee_615,39255,Analyst,2021-04-22,3,75,3633
616,Employee_616,45280,Analyst,2021-02-07,8,582,2924
617,Employee_617,22082,Manager,2021-10-12,9,680,4489
618,Employee_618,48796,Manager,2023-06-04,10,683,2819
619,Employee_619,32118,Engineer,2023-05-24,9,441,1083
620,Employee_620,17857,Manager,2020-09-06,5,129,3787
621,Employee_621,27839,Manager,2020-08-04,8,718,1659
622,Employee_622,17318,Assistant,2022-04-06,1,22,1176
623,Employee_623,10062,Engineer,2020-03-17,7,348,1730
624,Employee_624,23050,Manager,2019-12-26,10,233,1222
625,Employee_625,38675,Engineer,2020-02-01,7,934,1913
626,Employee_626,44458,Assistant,2020-02-18,4,374,3163
627,Employee_627,48686,Analyst,2021-02-24,8,592,3571
628,Employee_628,12593,Manager,2021-07-23,5,826,2372
629,Employee_629,17262,Engineer,2020-07-18,2,303,1594
630,Employee_630,26902,Engineer,2021-10-02,2,319,4200
631,Employee_631,27887,Manager,2021-04-10,6,759,4552
632,Employee_632,45714,Assistant,2022-04-17,3,636,2176
633,Employee_633,25349,Analyst,2022-05-26,5,655,4982
634,Employee_634,16970,Analyst,2023-02-08,5,283,3469
635,Employee_635,47183,Manager,2019-10-22,9,11,2265
636,Employee_636,21253,Analyst,2020-08-12,2,481,2485
637,Employee_637,48523,Analyst,2019-07-31,9,822,4025
638,Employee_638,37364,Engineer,2019-11-14,1,387,2851
639,Employee_639,49534,Engineer,2021-07-28,2,577,3684
640,Employee_640,41926,Analyst,2021-11-05,3,340,2379
641,Employee_641,19589,Analyst,2021-01-28,1,181,2018
642,Employee_642,41198,Assistant,2020-09-14,9,916,1562
643,Employee_643,42805,Engineer,2020-10-28,6,780,3096
644,Employee_644,18278,Manager,2019-10-27,3,303,3332
645,Employee_645,18181,Assistant,2022-04-11,1,880,2514
646,Employee_646,22529,Engineer,2019-12-19,9,687,3164
647,Employee_647,32880,Engineer,2019-08-10,6,587,1509
648,Employee_648,35306,Engineer,2019-12-25,2,560,4899
649,Employee_649,48867,Analyst,2023-02-22,9,456,4137
650,Employee_650,18891,Assistant,2022-06-17,3,742,4742
651,Employee_651,31402,Manager,2022-03-28,6,816,2596
652,Employee_652,44632,Engineer,2020-05-16,3,874,1514
653,Employee_653,21719,Assistant,2019-09-28,3,375,1893
654,Employee_654,49242,Analyst,2020-05-07,1,643,2988
655,Employee_655,26812,Manager,2020-07-26,7,526,1743
656,Employee_656,35434,Manager,2020-04-07,4,674,2502
657,Employee_657,25223,Manager,2021-06-19,1,815,3291
658,Employee_658,15623,Engineer,2019-12-07,1,863,2975
659,Employee_659,20083,Manager,2020-06-16,7,723,2753
660,Employee_660,32968,Manager,2022-06-15,2,656,3320
661,Employee_661,28700,Engineer,2022-06-28,5,916,3835
662,Employee_662,35058,Engineer,2022-03-31,3,862,3717
663,Employee_663,22393,Assistant,2022-03-24,4,619,2190
664,Employee_664,10266,Manager,2023-05-07,7,823,2434
665,Employee_665,39048,Analyst,2020-11-18,7,44,2275
666,Employee_666,12862,Manager,2022-03-22,8,841,1415
667,Employee_667,35080,Assistant,2022-03-24,6,688,2699
668,Employee_668,36365,Manager,2020-10-12,3,675,3306
669,Employee_669,33387,Analyst,2019-10-08,8,714,4727
670,Employee_670,44874,Manager,2023-02-26,3,507,3978
671,Employee_671,34544,Assistant,2021-11-19,4,649,4424
672,Employee_672,20900,Engineer,2021-10-18,3,335,3665
673,Employee_673,24342,Assistant,2022-01-08,3,690,1107
674,Employee_674,41589,Engineer,2022-01-02,3,513,3335
675,Employee_675,20334,Analyst,2020-06-19,6,674,1332
676,Employee_676,17408,Manager,2019-10-15,9,454,2267
677,Employee_677,44643,Engineer,2019-08-17,8,358,1793
678,Employee_678,13492,Engineer,2022-01-19,2,910,4624
679,Employee_679,40561,Engineer,2019-08-24,8,632,3800
680,Employee_680,10269,Engineer,2021-03-15,6,951,3647
681,Employee_681,40680,Assistant,2022-12-03,7,363,3158
682,Employee_682,42298,Engineer,2019-08-24,6,197,4298
683,Employee_683,16158,Manager,2022-09-05,1,728,2509
684,Employee_684,37189,Analyst,2023-02-06,4,640,4019
685,Employee_685,42313,Analyst,2021-02-13,5,990,1896
686,Employee_686,28971,Analyst,2020-08-19,3,262,4754
687,Employee_687,30835,Analyst,2019-09-13,1,327,4702
688,Employee_688,36107,Assistant,2020-09-16,2,51,3286
689,Employee_689,15053,Engineer,2021-05-03,3,868,2226
690,Employee_690,29134,Manager,2019-08-23,8,467,4994
691,Employee_691,29015,Engineer,2021-08-19,8,788,2960
692,Employee_692,43256,Analyst,2021-02-16,7,738,2409
693,Employee_693,19672,Manager,2022-12-19,4,306,4250
694,Employee_694,22531,Assistant,2022-08-18,9,85,4395
695,Employee_695,19266,Engineer,2019-12-20,9,617,2175
696,Employee_696,12086,Analyst,2022-03-11,8,577,1342
697,Employee_697,46715,Manager,2019-07-30,3,418,1030
698,Employee_698,35783,Assistant,2023-01-31,10,19,3181
699,Employee_699,44656,Manager,2021-08-01,4,891,3400
700,Employee_700,13853,Analyst,2022-10-08,9,51,4733
701,Employee_701,30655,Assistant,2023-04-01,4,896,2849
702,Employee_702,12886,Manager,2021-09-17,3,938,1758
703,Employee_703,34179,Manager,2021-07-29,1,256,4474
704,Employee_704,38858,Engineer,2021-09-23,1,479,3521
705,Employee_705,30735,Engineer,2021-03-14,8,518,1514
706,Employee_706,14605,Engineer,2021-01-09,9,325,4070
707,Employee_707,24656,Manager,2021-04-07,2,526,2314
708,Employee_708,29756,Analyst,2020-04-19,2,758,3001
709,Employee_709,30814,Analyst,2021-02-01,1,533,4406
710,Employee_710,47610,Manager,2020-01-02,4,901,4926
711,Employee_711,43107,Analyst,2023-02-25,7,720,1442
712,Employee_712,47154,Manager,2020-04-07,4,710,1303
713,Employee_713,17770,Analyst,2019-09-11,7,295,1896
714,Employee_714,17358,Manager,2022-06-11,4,56,2111
715,Employee_715,28920,Assistant,2019-10-09,7,719,2494
716,Employee_716,21688,Engineer,2022-03-30,7,136,2091
717,Employee_717,31729,Assistant,2023-03-20,3,665,2063
718,Employee_718,18167,Analyst,2020-08-23,1,761,3809
719,Employee_719,46739,Manager,2022-09-21,10,414,2239
720,Employee_720,16635,Analyst,2021-05-19,6,997,3828
721,Employee_721,20818,Manager,2020-06-09,3,812,1504
722,Employee_722,33521,Analyst,2021-03-08,9,401,1612
723,Employee_723,45787,Analyst,2019-11-13,5,386,3249
724,Employee_724,43627,Analyst,2023-01-04,6,419,3695
725,Employee_725,23721,Engineer,2019-06-21,6,740,3431
726,Employee_726,13156,Analyst,2022-06-25,5,511,2750
727,Employee_727,35065,Assistant,2022-09-01,10,841,3716
728,Employee_728,36532,Analyst,2023-05-10,8,758,3946
729,Employee_729,25266,Assistant,2022-06-25,6,892,1466
730,Employee_730,28543,Analyst,2022-06-05,4,675,4442
731,Employee_731,32856,Engineer,2019-09-07,1,780,3122
732,Employee_732,45315,Analyst,2020-12-15,2,410,3525
733,Employee_733,35891,Engineer,2021-03-23,10,677,1144
734,Employee_734,32873,Engineer,2020-05-08,4,878,1686
735,Employee_735,22374,Assistant,2022-02-15,7,20,2843
736,Employee_736,19647,Engineer,2021-03-21,8,874,3044
737,Employee_737,40786,Manager,2021-01-11,7,79,4488
738,Employee_738,33673,Analyst,2020-08-25,9,344,2536
739,Employee_739,45632,Analyst,2020-01-31,8,993,4289
740,Employee_740,28066,Manager,2023-01-08,8,384,2594
741,Employee_741,37001,Manager,2020-08-11,2,333,2215
742,Employee_742,47800,Engineer,2022-06-29,6,209,3328
743,Employee_743,23120,Manager,2020-11-26,1,396,4391
744,Employee_744,41732,Engineer,2022-02-06,3,15,3409
745,Employee_745,18729,Manager,2020-07-11,2,987,2513
746,Employee_746,42717,Assistant,2023-03-04,6,583,2619
747,Employee_747,31971,Engineer,2021-05-20,1,312,3621
748,Employee_748,48720,Analyst,2023-05-26,6,764,4417
749,Employee_749,28924,Analyst,2022-08-22,8,727,4569
750,Employee_750,46626,Analyst,2020-12-14,8,671,3455
751,Employee_751,33471,Analyst,2020-11-21,5,569,2477
752,Employee_752,46802,Analyst,2019-11-02,8,12,3192
753,Employee_753,11469,Assistant,2022-12-19,8,737,3257
754,Employee_754,15037,Assistant,2021-02-06,3,554,2085
755,Employee_755,39392,Manager,2022-08-13,10,342,1312
756,Employee_756,21306,Engineer,2022-12-31,7,31,2904
757,Employee_757,12538,Assistant,2020-05-11,8,361,4158
758,Employee_758,21114,Assistant,2023-03-25,10,538,2943
759,Employee_759,31222,Analyst,2021-06-28,4,924,4769
760,Employee_760,35921,Analyst,2023-02-28,7,234,2159
761,Employee_761,37879,Engineer,2022-03-16,10,703,2751
762,Employee_762,37547,Manager,2020-07-12,10,983,2050
763,Employee_763,21976,Manager,2020-07-03,4,517,2657
764,Employee_764,37203,Manager,2022-10-05,3,85,2421
765,Employee_765,39939,Assistant,2019-09-22,3,548,3153
766,Employee_766,15068,Assistant,2022-07-05,4,463,2243
767,Employee_767,49815,Assistant,2019-10-12,7,476,3418
768,Employee_768,41594,Assistant,2022-09-16,7,60,3655
769,Employee_769,13777,Manager,2021-05-10,7,707,2178
770,Employee_770,39070,Engineer,2021-10-14,7,159,2549
771,Employee_771,11322,Manager,2022-01-29,3,328,3826
772,Employee_772,40617,Assistant,2023-04-17,9,541,2593
773,Employee_773,12761,Engineer,2021-03-29,8,764,1138
774,Employee_774,28838,Analyst,2022-04-20,7,175,4571
775,Employee_775,23298,Manager,2020-05-27,3,533,2195
776,Employee_776,45015,Engineer,2021-04-02,7,246,1969
777,Employee_777,21496,Assistant,2022-04-16,8,462,3321
778,Employee_778,42384,Engineer,2022-08-13,3,147,4119
779,Employee_779,33156,Manager,2022-02-06,8,772,4545
780,Employee_780,48957,Analyst,2023-05-07,9,916,1746
781,Employee_781,29894,Assistant,2020-03-19,2,942,3393
782,Employee_782,27469,Analyst,2022-01-08,10,953,3888
783,Employee_783,42658,Assistant,2022-02-01,3,905,3076
784,Employee_784,41196,Manager,2023-04-20,10,915,4353
785,Employee_785,34462,Assistant,2020-06-22,9,766,4222
786,Employee_786,35993,Manager,2022-08-17,10,91,4205
787,Employee_787,24101,Engineer,2023-03-23,2,708,2028
788,Employee_788,13755,Manager,2019-12-09,10,367,2878
789,Employee_789,15171,Engineer,2019-10-26,4,579,4728
790,Employee_790,36471,Analyst,2021-05-04,7,87,2502
791,Employee_791,25215,Engineer,2020-04-26,7,33,2025
792,Employee_792,12748,Engineer,2019-06-29,4,603,3217
793,Employee_793,30719,Assistant,2022-03-31,10,727,3624
794,Employee_794,32245,Analyst,2020-11-10,9,290,3441
795,Employee_795,10955,Analyst,2020-12-13,7,573,2937
796,Employee_796,40238,Engineer,2020-12-01,1,354,2656
797,Employee_797,30601,Engineer,2022-11-14,1,686,4863
798,Employee_798,36434,Analyst,2021-07-10,4,771,4302
799,Employee_799,20871,Assistant,2021-01-20,4,217,1227
800,Employee_800,25982,Analyst,2019-08-23,7,622,1407
801,Employee_801,40593,Manager,2022-12-16,7,566,2535
802,Employee_802,45564,Engineer,2022-01-07,4,350,3394
803,Employee_803,24523,Manager,2021-09-07,4,160,3628
804,Employee_804,38745,Engineer,2020-11-01,9,96,2431
805,Employee_805,33966,Engineer,2019-08-07,9,950,2624
806,Employee_806,35271,Analyst,2020-08-05,3,141,1253
807,Employee_807,40684,Manager,2020-08-15,3,514,1160
808,Employee_808,29895,Engineer,2019-08-29,8,187,3442
809,Employee_809,17673,Analyst,2020-05-08,10,437,1631
810,Employee_810,46201,Assistant,2021-02-21,1,627,3149
811,Employee_811,28259,Analyst,2020-12-16,1,218,3508
812,Employee_812,22546,Analyst,2021-03-18,5,300,1046
813,Employee_813,47473,Assistant,2021-06-06,1,794,1758
814,Employee_814,39037,Manager,2020-07-15,9,907,3626
815,Employee_815,10378,Analyst,2022-01-30,6,834,3976
816,Employee_816,18661,Engineer,2019-11-11,6,949,2997
817,Employee_817,36196,Manager,2019-07-13,7,314,3375
818,Employee_818,38155,Analyst,2021-07-23,10,527,4437
819,Employee_819,16594,Engineer,2019-12-05,10,935,1485
820,Employee_820,41831,Manager,2019-08-01,2,180,1705
821,Employee_821,26010,Manager,2019-11-09,2,434,4711
822,Employee_822,13966,Analyst,2021-02-25,5,768,1061
823,Employee_823,17082,Manager,2021-07-12,3,929,4321
824,Employee_824,12419,Engineer,2022-08-26,8,247,4676
825,Employee_825,19495,Assistant,2020-04-17,8,113,4040
826,Employee_826,46577,Engineer,2020-01-18,8,821,4478
827,Employee_827,47173,Assistant,2023-06-01,3,179,3535
828,Employee_828,29942,Manager,2021-03-13,8,622,4835
829,Employee_829,46482,Analyst,2023-05-29,10,147,3388
830,Employee_830,41603,Engineer,2020-02-24,5,814,3550
831,Employee_831,23954,Manager,2022-06-05,5,117,3340
832,Employee_832,39817,Manager,2022-01-07,8,941,3974
833,Employee_833,30671,Manager,2021-05-31,1,693,3890
834,Employee_834,41257,Engineer,2022-09-06,10,911,1809
835,Employee_835,30185,Manager,2019-12-26,10,922,4371
836,Employee_836,28248,Analyst,2020-10-07,8,878,2700
837,Employee_837,25215,Analyst,2022-10-31,10,687,2655
838,Employee_838,45318,Analyst,2019-08-26,6,268,2731
839,Employee_839,22981,Manager,2022-05-07,10,238,3104
840,Employee_840,34510,Analyst,2022-05-18,3,969,3686
841,Employee_841,49333,Engineer,2022-12-03,8,350,1601
842,Employee_842,26919,Manager,2021-01-28,3,62,4346
843,Employee_843,27094,Assistant,2019-11-06,5,553,1545
844,Employee_844,34570,Engineer,2022-12-30,9,157,4666
845,Employee_845,29361,Assistant,2023-01-08,10,962,4203
846,Employee_846,46052,Engineer,2022-07-31,5,304,4196
847,Employee_847,46826,Assistant,2022-09-02,6,703,1006
848,Employee_848,40890,Analyst,2022-05-20,9,691,2238
849,Employee_849,34830,Engineer,2019-10-11,1,541,2487
850,Employee_850,36462,Manager,2021-10-26,3,5,1542
851,Employee_851,36598,Manager,2020-01-17,10,515,3156
852,Employee_852,33676,Assistant,2019-08-17,6,323,4724
853,Employee_853,21661,Assistant,2019-12-19,9,607,3693
854,Employee_854,40572,Assistant,2020-07-02,6,619,2778
855,Employee_855,21323,Engineer,2020-07-21,4,703,4903
856,Employee_856,19763,Engineer,2020-11-12,3,451,2631
857,Employee_857,10850,Analyst,2020-02-17,5,790,3173
858,Employee_858,22869,Assistant,2021-01-30,6,400,2856
859,Employee_859,15244,Analyst,2019-11-11,4,999,1177
860,Employee_860,35729,Assistant,2021-03-05,4,567,4944
861,Employee_861,36404,Analyst,2022-07-16,9,721,4480
862,Employee_862,23408,Engineer,2023-05-26,2,679,3347
863,Employee_863,49091,Engineer,2019-11-14,5,975,4157
864,Employee_864,17058,Analyst,2021-06-28,9,391,2267
865,Employee_865,34745,Assistant,2023-03-21,8,593,3747
866,Employee_866,16918,Manager,2020-09-18,4,290,2388
867,Employee_867,24165,Analyst,2021-12-27,5,11,1887
868,Employee_868,29859,Assistant,2020-09-11,2,863,1597
869,Employee_869,22238,Analyst,2022-01-23,1,974,1698
870,Employee_870,31580,Analyst,2021-07-16,7,280,2761
871,Employee_871,32882,Manager,2019-12-07,9,383,3394
872,Employee_872,38305,Engineer,2019-11-01,6,376,2448
873,Employee_873,30287,Manager,2020-12-01,6,657,4271
874,Employee_874,26092,Assistant,2022-04-28,4,641,3605
875,Employee_875,41291,Analyst,2019-10-12,1,693,1468
876,Employee_876,38143,Manager,2020-01-04,2,334,2819
877,Employee_877,31773,Engineer,2021-08-28,3,937,4699
878,Employee_878,46183,Assistant,2021-03-20,9,731,3257
879,Employee_879,25680,Manager,2019-09-15,9,137,3486
880,Employee_880,41803,Analyst,2023-06-02,6,744,1765
881,Employee_881,35435,Assistant,2019-10-31,9,994,1440
882,Employee_882,39855,Analyst,2019-10-22,9,187,1064
883,Employee_883,11013,Analyst,2019-07-17,7,538,4820
884,Employee_884,25046,Analyst,2023-03-31,10,80,4201
885,Employee_885,10365,Engineer,2021-04-08,6,479,3573
886,Employee_886,23375,Manager,2023-01-12,7,241,4314
887,Employee_887,35860,Engineer,2019-10-01,9,447,4737
888,Employee_888,49331,Assistant,2022-02-24,6,552,4430
889,Employee_889,47397,Engineer,2021-01-30,2,794,3587
890,Employee_890,24640,Manager,2023-03-15,4,646,2644
891,Employee_891,31202,Manager,2021-07-29,9,806,4548
892,Employee_892,33901,Manager,2022-12-10,3,558,1464
893,Employee_893,47253,Manager,2023-05-11,10,429,2573
894,Employee_894,22089,Manager,2023-04-29,3,993,4172
895,Employee_895,33578,Manager,2022-11-05,8,178,1854
896,Employee_896,37760,Engineer,2022-11-07,2,531,1062
897,Employee_897,36244,Assistant,2022-09-19,4,317,3906
898,Employee_898,26990,Engineer,2022-08-19,3,276,4262
899,Employee_899,19741,Manager,2022-03-01,4,488,1112
900,Employee_900,36833,Assistant,2020-10-16,4,109,1774
901,Employee_901,34063,Engineer,2019-11-08,7,642,1347
902,Employee_902,43982,Engineer,2020-09-21,7,18,4127
903,Employee_903,45134,Engineer,2022-12-29,5,218,3187
904,Employee_904,45085,Engineer,2021-08-10,10,507,3517
905,Employee_905,45086,Analyst,2020-12-04,9,73,2382
906,Employee_906,40397,Analyst,2020-09-29,8,479,4933
907,Employee_907,33991,Assistant,2019-09-03,10,47,3489
908,Employee_908,48511,Analyst,2023-05-22,7,639,3687
909,Employee_909,45698,Analyst,2023-04-04,9,336,4840
910,Employee_910,16919,Assistant,2023-02-14,3,300,4887
911,Employee_911,31716,Analyst,2019-12-13,3,668,1221
912,Employee_912,12525,Assistant,2022-03-11,5,173,1916
913,Employee_913,37105,Manager,2019-08-10,7,457,4802
914,Employee_914,27210,Engineer,2023-04-05,7,513,1878
915,Employee_915,30584,Manager,2019-11-01,6,148,3083
916,Employee_916,19654,Manager,2021-02-08,5,686,4900
917,Employee_917,38313,Engineer,2023-05-07,3,660,3371
918,Employee_918,24051,Manager,2022-11-11,6,606,2146
919,Employee_919,29811,Assistant,2021-03-23,3,340,2598
920,Employee_920,13435,Analyst,2020-03-12,2,330,4069
921,Employee_921,39993,Engineer,2019-10-24,6,64,2649
922,Employee_922,24228,Assistant,2022-09-06,10,470,3992
923,Employee_923,43147,Manager,2020-09-12,3,140,4604
924,Employee_924,40183,Assistant,2022-09-13,5,1,1123
925,Employee_925,21748,Analyst,2020-07-28,1,967,1351
926,Employee_926,47450,Analyst,2020-01-05,8,158,4951
927,Employee_927,46025,Engineer,2019-06-30,1,872,3630
928,Employee_928,45105,Assistant,2021-12-24,1,507,3803
929,Employee_929,22957,Manager,2020-05-06,4,314,1994
930,Employee_930,28500,Manager,2020-07-22,3,861,4624
931,Employee_931,33313,Assistant,2022-07-01,10,874,2827
932,Employee_932,37233,Analyst,2022-10-10,1,426,4609
933,Employee_933,40856,Assistant,2023-04-18,9,250,1149
934,Employee_934,47238,Manager,2019-09-27,10,678,4065
935,Employee_935,21571,Manager,2020-08-05,1,620,1798
936,Employee_936,31792,Engineer,2022-09-26,9,253,4009
937,Employee_937,17038,Manager,2022-01-21,6,425,4146
938,Employee_938,41754,Manager,2022-12-03,1,651,1187
